,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
151,post1950/zakharov/xx/katanjan/idoly,Василий Катанян,муж,1924,Прикосновение к идолам,1998,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Василий Катанян. Прикосновение к идолам. Воспоминания. М.: Захаров, 2002",Василий Катанян. Прикосновение к идолам. Воспоминания,Захаров,2002.0,книга,ПК письменных текстов,none,147767
152,post1950/zakharov/xx/levin/bluzhd,Борис Левин,муж,1938,Блуждающие огни,1995,художественная,документальная проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Борис Левин. Инородное тело. Автобиографическая проза и поэзия. М.: Захаров, 2002",Борис Левин. Инородное тело. Автобиографическая проза и поэзия,Захаров,2002.0,книга,ПК письменных текстов,none,140111
153,post1950/zakharov/xx/lvov/dvor,Аркадий Львов,муж,1927,Двор,1981,художественная,нежанровая проза,роман,,Россия/СССР: 1930-е,нейтральный,н-возраст,н-уровень,большая,"Аркадий Львов. Двор. М.: Захаров, 2003",Аркадий Львов. Двор,Захаров,2003.0,книга,ПК письменных текстов,none,203539
154,post1950/zakharov/xx/maslenikova/menj,Зоя Масленикова,жен,1923,Жизнь отца Александра Меня,1992,публицистика | нехудожественная,,биография,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Зоя Масленикова. Александр Мень. Жизнь. М.: Захаров, 2002",Зоя Масленикова. Александр Мень. Жизнь,Захаров,2002.0,книга,ПК письменных текстов,none,111431
155,post1950/zakharov/xx/rubin/rubin,Евгений Рубин,муж,1947,Пан или пропал. Жизнеописание,1999-2000,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период|Америка: современность,нейтральный,н-возраст,н-уровень,большая,"Евгений Рубин. Пан или пропал! Жизнеописание. М.: Захаров, 2000",Евгений Рубин. Пан или пропал. Жизнеописание,Захаров,2000.0,книга,ПК письменных текстов,none,141565
156,post1950/zakharov/xx/voronel/bez_prik,Нина Воронель,жен,1932,Без прикрас. Воспоминания,1975-2003,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Н. Воронель. Без прикрас. Воспоминания. М.: Захаров, 2003",Н. Воронель. Без прикрас. Воспоминания,Захаров,2003.0,книга,ПК письменных текстов,none,126505
157,post1950/zhur_russru/zvezda/chizhova/chizh,Елена Чижова,жен,,Лавра,2002,художественная,нежанровая проза,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Звезда, 2002 N7-9",«Звезда»,,2002.0,журнал,ПК письменных текстов,none,118597
158,post1950/fiction_mem/makushinsky/makushinski_gorod_v_doline,Алексей Макушинский,муж,1960,Город в долине,2012,художественная,нежанровая проза,роман,,Россия/СССР: советский период|Европа: современность,нейтральный,н-возраст,н-уровень,большая,"Алексей Макушинский. Город в долине. СПб.: Алетейя, 2013",Алексей Макушинский. Город в долине,,2013.0,книга,ПК письменных текстов,none,114924
159,post1950/fiction_mem/zalygin/zalygin_komissija,Сергей Залыгин,муж,1913,Комиссия,1976,художественная,нежанровая проза,роман,,Россия: 1914-1920,нейтральный,н-возраст,н-уровень,большая,http://modernlib.ru/books/zaligin_sergey/komissiya/,,,,книга,ПК письменных текстов,none,138121
160,post1950/fiction_mem/zalygin/zalygin_solenaja_pad,Сергей Залыгин,муж,1913,Соленая Падь,1967,художественная,нежанровая проза,роман,,Россия: 1914-1920,нейтральный,н-возраст,н-уровень,большая,http://modernlib.ru/books/zaligin_sergey/solenaya_pad/,,,,книга,ПК письменных текстов,none,126818
161,post1950/orth/shmeman/shmieman_dnevniki,А. Д. Шмеман,муж,1921,Дневники,1973-1983,публицистика,,"дневник, записные книжки",религия,,нейтральный,н-возраст,н-уровень,большая,"Дневники. 1973-1983. М.: Русский путь, 2005",Дневники. 1973-1983,«Русский путь»,2005.0,книга,ПК письменных текстов,none,240836
162,post1950/fiction_mem/lipatov/i_eto_vse_o_nem,Виль Липатов,муж,1927,И это все о нем,1984,художественная,нежанровая проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,очень большая,"Виль Липатов. Собр. соч.: В 4-х томах. Т. 3. М.: Молодая гвардия, 1984",Виль Липатов. Собр. соч.: В 4-х томах. Т. 3,Молодая гвардия,1984.0,книга,ПК письменных текстов,none,122897
163,post1950/fiction_mem/zavershneva/vysotka,Екатерина Завершнева,жен,1971,Высотка,2012,художественная,нежанровая проза|любовная история,роман,,Россия: постсоветский период,индивидуально-авторский,н-возраст,н-уровень,большая,"Е. Завершнева. Высотка. М.: Время, 2012 http://fanread.ru/book/9454582/",Е. Завершнева. Высотка,«Время»,2012.0,книга,ПК письменных тестов,none,135839
