,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
34,post1950/vagr/vagr1/ivanov/geograph,Алексей Иванов,муж,1969.0,Географ глобус пропил,2002,художественная,нежанровая проза,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Алексей Иванов. Географ глобус пропил. М.: Вагриус, 2003",Алексей Иванов. Географ глобус пропил,Вагриус,2003.0,книга,ПК письменных текстов,none,83187
35,post1950/vagr/vagr1/kostikov/roman,Вячеслав Костиков,муж,1940.0,Роман с президентом,1996,публицистика | нехудожественная,,мемуары,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Вячеслав Костиков. Роман с президентом. М.: Вагриус, 1997",Вячеслав Костиков. «Роман с президентом»,Вагриус,1997.0,книга,ПК письменных текстов,none,85099
36,post1950/vagr/vagr1/vasilyev/vsl_tom1_2,Борис Васильев,муж,1924.0,"Картежник и бретер, игрок и дуэлянт",1998,художественная,историческая проза,роман,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"Васильев Б. Картежник и бретер, игрок и дуэлянт. - М.: Вагриус, 1999","Васильев Б. Картежник и бретер, игрок и дуэлянт",Вагриус,1999.0,книга,ПК письменных текстов,none,82264
37,post1950/vagr/vagr2/volodarsky/dnevnik,Эдуард Володарский,муж,1941.0,Дневник самоубийцы,1997,художественная,нежанровая проза,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Володарский Э. Дневник самоубийцы. ― М.: Вагриус, 2001",Володарский Э. Дневник самоубийцы,Вагриус,2001.0,книга,ПК письменных текстов,none,88701
38,post1950/vagr/vagr4/astafyev/oberto02,Виктор Астафьев,муж,1924.0,Зрячий посох,1978-1982,художественная,документальная проза,повесть,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Астафьев В. П. Обертон. ― М.: Вагриус, 1998",Виктор Астафьев. Обертон,Вагриус,1998.0,книга,ПК письменных текстов,none,89414
39,post1950/vagr/vagr4/lipsker/sonrazum,Дмитрий Липскеров,муж,1964.0,Последний сон разума,1999,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Липскеров Д. Последний сон разума. ― М.: Вагриус, 2000",Липскеров Д. Последний сон разума,Вагриус,2000.0,книга,ПК письменных текстов,none,89605
40,post1950/vagr/vagr4/smirnova/lyubov,Лидия Смирнова,жен,1913.0,Моя любовь,1997,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период|Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Лидия Смирнова. Моя любовь. «Вагриус», 1997?",Лидия Смирнова. Моя любовь,Вагриус,1997.0,книга,ПК письменных текстов,none,89551
41,post1950/vagr/vagr4/troshev/voina,Геннадий Трошев,муж,1947.0,Моя война,2000-2001,публицистика | нехудожественная,,мемуары,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Геннадий Трошев. Моя война. ― М.: «Вагриус», 2001",Геннадий Трошев. Моя война,Вагриус,2001.0,книга,ПК письменных текстов,none,82442
42,post1950/vagr/vagr7/kaledin/grobokopatel,Сергей Каледин,муж,1949.0,Записки гробокопателя,1987-1999,художественная,нежанровая проза,повесть|цикл,,Россия: постсоветский период|Ближний Восток: современность,нейтральный,н-возраст,н-уровень,большая,"Сергей Каледин. Записки гробокопателя. - М.: Вагриус, 2001",Сергей Каледин. Записки гробокопателя,Вагриус,2001.0,книга,ПК письменных текстов,none,87789
43,post1950/vagr/vagr7/molchanov/dolshe,Владимир Молчанов|Консуэло Сегура,муж|жен,1950.0,И дольше века...,1999-2003,публицистика | нехудожественная,,интервью|цикл,политика и общественная жизнь|искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"Владимир Молчанов, Консуэло Сегура. И дольше века... - М.: Вагриус, 2004","Владимир Молчанов, Консуэло Сегура. И дольше века...",Вагриус,2004.0,книга,ПК письменных текстов,none,80089
44,post1950/vagr/vagr8/elagin/temngen,Юрий Елагин,муж,1910.0,Темный гений,1998,публицистика | нехудожественная,,биография,,Россия: 1900-1914/Россия/СССР: 1930-е,нейтральный,н-возраст,н-уровень,большая,"Юрий Елагин. Тёмный гений: Всеволод Мейерхольд. ―М.: Вагриус, 1997",Юрий Елагин «Тёмный гений: Всеволод Мейерхольд»,Вагриус,1997.0,книга,ПК письменных текстов,none,87769
45,post1950/zakharov/xx/shcheglov/ranevsk,Алексей Щеглов,муж,1939.0,Фаина Раневская: вся жизнь,2003,публицистика | нехудожественная,,биография,,Россия: 1-я пол. XX в,нейтральный,н-возраст,н-уровень,большая,"Алексей Щеглов. Фаина Раневская. Вся жизнь. М.: Захаров, 2003",Алексей Щеглов. Фаина Раневская. Вся жизнь,Захаров,2003.0,книга,ПК письменных текстов,none,83612
46,post1950/zhur_russru/october/pisigin,Валерий Писигин,муж,,Письма с Чукотки,2001,публицистика | нехудожественная,,очерк|цикл,политика и общественная жизнь|путешествия,,нейтральный,н-возраст,н-уровень,большая,"«Октябрь», 2001, №1",«Октябрь»,,2001.0,журнал,ПК письменных текстов,none,82708
47,post1950/fiction_mem/vodolazkin/Vodolazkin_Lavr,Евгений Водолазкин,муж,1964.0,Лавр,2012,художественная,историческая проза,роман,,Россия: XV век,нейтральный,н-возраст,н-уровень,большая,"Евгений Водолазкин. Лавр. М.: Астрель, 2012",Евгений Водолазкин. Лавр,Астрель,2012.0,книга,ПК письменных текстов,none,89755
48,post1950/fiction_mem/musatov/sobr_s01,А. И. Мусатов,муж,1911.0,Большая весна,1957,художественная,детская,повесть,,Россия/СССР: советский период,нейтральный,подростковый,н-уровень,очень большая,"Собрание сочинений в 3-х томах. Т. I. М.: Детская литература, 1976",Собрание сочинений в 3-х томах. Т. 3,Детская литература,1978.0,книга,ПК письменных текстов,none,83283
49,post1950/fiction_mem/evtushenko/evtushenko,Евгений Евтушенко,муж,1932.0,Ягодные места,1982,художественная,нежанровая проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,очень большая,"Евгений Евтушенко. Ягодные места. М.: Советский писатель, 1982 http://royallib.com/book/evtushenko_evgeniy/yagodnie_mesta.html",Евгений Евтушенко. Ягодные места,Советский писатель,1982.0,книга,ПК письменных текстов,none,88693
